mana man kagam	мой друг мне писал
digette miʔ diʔe shobibaʔ	потом мы оттуда шли
di koʔbsang oniʔ koʔbdo nagobi	эти девушки… одно девушке не было
di mande giber kalla durbi	он говорит куда она делась
a man mandem tuʔsitte kalla durbi	а я говорю она по нужде пошла
di bar tang kaknarbi matwejew	он так хохотал матвеев
digette shobibaʔ maʔni	потом мы пришли ко мне домой
nu potom miʔ kambibaʔ	потом мы пошли
diber gijen shkola	туда где школа
nubibaʔ digette koʔbdo kirgarlaʔbe shoʔ amorzitte	стояли  потом одна девушка закричала
a man mambiam kanaʔ doʔe eshsine	а я сказала иди отсюда к ребенку
iʔ kirgaraʔ miʔ boste shobibaʔ	не кричи мы сами 
di bazo matwejew kaknarbi tang	матвеев опять очень смеялся
mande imbi norbibeng	говорит что ты сказала
 ej norbelam tanan	я говорю я не с тобой говорю
togda ja jemu skazala ja skazala jemu po - russki uhodi	тогда… тогда я ему сказала я сказала ему по-русски уходи
gladi ne krichi	гляди не кричи
jakshe di kuza ugande	он очень хороший человек
kong kuza	начальник
kamen miʔnibeʔ shobi mana amnobiam diʔne mambiam tan kong igel	когда он приехал к нам я была у себя  я сказала ему ты начальник
di mande imbi dirgit	он говорит что это такое
urgo kong	‎‎большой начальник
ja tozhe 	я тоже…
man ibiem urgo kong tan	я была у твоего начальника
digette miʔ shobibaʔ tartu	потом мы приехали тарту
kambibaʔ tan kongde	мы пошли к твоему начальнику
wishe tanan 	он выше тебя
digette din amorbibaʔ	потом мы поели
dizeng ugande jakshe il	они очень хорошие люди
mana ibiʔi	взяли меня 
digette kambibaʔ diʔne satte din iʔgo wsakij svetogeʔi	потом мы пошли в их сад там много всяких цветов
do mana oniʔ mibi	он дал мне один 
man kubiam din jablakaʔi	я увидела там яблоки
amnolaʔbeʔi kiparis dub	там растут кипарис дуб
man isho dim ej kubiam	я его еще не видела
a din kubiam	а там увидела
digette di miʔnibeʔ kartachkane abi tartu	потом он нас сфотографировал тарту
digette miʔ kambibaʔ	потом мы уехали
di girgit ne balnitsagen togonorlaʔbe	та женщина которая в больнице работает
din bazo ambibaʔ	там мы опять поели
digette di mande maʔ a man kalam mande	потом он говорит оставайся а я пойду домой
di kambi man din iʔbobiam  kunolbiam	он ушелушла я лежала там спала
digette kambibaʔ kudajde numan uzeste	потом мы пошли богу молиться
digette nina shobi mana ibi	потом нина пришла взяла меня
digette man satken kubiam din noʔ	я в саду нашла эту траву
miʔnibeʔ toze ige man mandem imbi di lawrowij 	у нас она тоже есть я говорю что это лавровый 
kashkara ige	это кашкара
di da mande	он говорит да
miʔ toze dirgit noʔ ige	у нас тоже есть такая трава
digette shobi kagam i deʔpi lawrowij list	мой брат приехал и привез лавровый лист
a man malliam imbi tan ugande kuluʔsebi igel	а я говорю почему ты такой хитрый
do kashkarande 	я говорю про эту кашкару
do liste deʔpiel mana	ты этот лист привез мне
a di mande aga dizeng deʔpiem	он говорит ага их привез
i kaknarbibaʔ din dijegen	и мы там смеялись в лесу
miʔ sane abibaʔ	мы орехи собирали
poltora bura	полтора мешка
oʔpel bura man abiam sane i boskende deʔpiem	я собрала полтора мешка орехов и принесла их к себе
nawernoje nagur raz mimbiem	наверное три раза ходила
nagur mimbiem i deʔpiem 	три ходила и принесла домой
a di kamen ibi	а это когда было
kamen vajna ibi	когда война была
ugande iʔgo akta  nalok mizitte	назначили очень много денег чтобы заплатить налог
digette sadarbiam takanzi i mibiem di nalokte	потом я продавала стаканами и платила налог
girgit ambiʔi	который они назначили
 mibiem akta	отдавала деньги 
isho maluʔpi	еще оставалось
digette man tibi shobi vajnage	потом мой муж пришел с войны
toze sadarbi dim	тоже продавал их
digette mana baruʔpi i kalla durbi bashka nene	потом он меня бросил и ушел к другой женщине
a man unna maluʔpiam	я осталась одна
i tang dorbiam mandem giber kandegal	очень сильно плакала говорила куда ты уходишь
i di bar dorlaʔbe a boste kandlaʔbe amnoʔ kade-nibud a man kalam	и он плачет но сам уходит живи как-нибудь я пойду
kabarlej	хватит
digette di kong mana beʔ sumna akta mibi man ej ibiem	потом этот начальник мне пятнадцать рублей дал я не брала
arpit mande it di milie tanan imbi-nibud sadarlej iliel amzitte boskende	арпит говорит возьми он дает тебе купишь сего что-нибудь поесть
nu man digette ibiem	ну тогда я взяла
a to di kuroluʔlej ej iliel dak	а то он рассердится если ты не берешь
digette essengde din shobiʔi net din shobi	потом его дети пришли его жена пришла
i miʔ nubibaʔ kartachkagen	и мы сфотографировались
tuj ige man	теперь она у меня
manderlil	ты посмотришь
a ej mibiʔi kudajde numan uzeste 	а нам не давали молиться богу
digette  pangdebi sazen amerika	тогда написал письмо америки
mana di il girgit il kudajde numan uzelieʔi	дайте мне людей которые молятся богу
digette sazen shobi	потом пришло письмо
pangdebiʔi shindi kudajde kudolbi	те кто ругал бога тоже написали
i diber sazende pangdebi shto kudajde numan uzleʔbem	тоже написали что я молюсь богу
kabarlej	хватит
kada ja na na kongret prishla wse takije radije	когда я на конгресс пришла все так рады были
wse ludi horoshi prinali mena	все люди хорошие приняли меня
man erten uʔbdebiam kudajde numan uzebiem edeʔleʔbem agafon ivanovichem	я утром встала богу помолилась подождала агафона ивановича
